id	geneset_id	gene_id
169	1	9623
170	1	11157
171	1	11158
172	1	11159
173	1	11161
174	1	17316
175	1	6053
176	1	5031
177	1	5035
178	1	5041
179	1	5046
180	1	11200
181	1	16834
182	1	14276
183	1	30660
184	1	20422
185	1	17860
186	1	7629
187	1	24534
188	1	2519
189	1	9176
190	1	29667
191	1	16355
192	1	9192
193	1	7667
194	1	20470
195	2	7098
196	2	10627
197	2	6116
198	2	10630
199	2	4934
200	2	4935
201	2	6025
202	2	1706
203	2	4936
204	2	4937
205	2	10618
206	3	6148
207	3	16647
208	3	10632
209	3	1673
210	3	1674
211	3	10637
212	3	10638
213	3	10639
214	3	9360
215	3	21392
216	3	7830
217	3	7067
218	3	6059
219	3	15669
220	3	8760
221	3	7098
222	3	5438
223	3	1606
224	3	6476
225	3	4947
226	3	4962
227	3	11362
228	3	4708
229	3	4709
230	3	1639
231	3	4711
232	3	6010
233	4	19137
234	4	4962
235	4	17635
236	4	9538
237	4	11362
238	4	16647
239	4	10632
240	4	2121
241	4	1706
242	4	6059
243	4	6476
244	4	18731
245	4	4942
246	4	11922
247	4	4948
248	4	7830
249	4	26838
250	4	7098
251	5	11362
252	5	4708
253	5	1606
254	5	6059
255	5	10637
256	5	10638
257	5	9360
258	5	4947
259	5	7098
260	5	5438
261	6	4708
262	6	4709
263	6	1706
264	6	1707
265	6	9360
266	7	1706
267	7	1707
268	8	11362
269	8	6059
270	8	10637
271	8	4947
272	8	7098
273	8	5438
274	9	7682
275	9	1400
276	9	13829
277	9	904
278	9	2187
279	9	6284
280	9	14350
281	9	9213
282	9	10258
283	9	26515
284	9	1685
285	9	10773
286	9	10645
287	9	16410
288	9	1691
289	9	8987
290	9	16286
291	9	18078
292	9	26016
293	9	289
294	9	6817
295	9	22951
296	9	20779
297	9	17579
298	9	1071
299	9	12722
300	9	32190
301	9	19010
302	9	197
303	9	4678
304	9	20166
305	9	8774
306	9	9160
307	9	6730
308	9	18508
309	9	6221
310	9	6224
311	9	20818
312	9	20434
313	9	17109
314	9	470
315	9	17623
316	9	15703
317	9	25429
318	9	34518
319	9	12762
320	9	29271
321	9	7777
322	9	16356
323	9	6373
324	9	27110
325	9	5351
326	9	11877
327	9	29933
328	9	11249
329	9	1138
330	9	16763
331	9	6006
332	9	11766
333	9	2680
334	9	6009
335	9	8955
336	9	13564
337	9	15997
338	10	24448
339	10	18572
340	10	25360
341	10	8855
342	10	30231
343	10	8603
344	10	18080
345	10	2992
346	10	11190
347	10	2232
348	10	2236
349	10	20286
350	10	25287
351	10	8907
352	10	18379
353	10	10701
354	10	8923
355	10	9314
356	10	26472
357	10	4853
358	10	21368
359	11	6342
360	11	1608
361	11	5358
362	11	28915
363	11	3765
364	11	16094
365	11	21087
366	12	6376
367	12	6378
